input1	input2	input3	label
q	h	plqhd	plhqd
q	k	hqvjctkfr	hkvjctqfr
c	v	nrmckv	nrmvkc
r	l	lrsd	rlsd
j	q	gqjp	gjqp
v	z	vfrqnzjm	zfrqnvjm
j	n	jmncdv	nmjcdv
q	z	zhwq	qhwz
v	f	gvzfmsw	gfzvmsw
s	c	jcrsbngz	jsrcbngz
f	q	rdwfhq	rdwqhf
n	c	dnc	dcn
r	g	xgncbmvzwr	xrncbmvzwg
f	p	pjbfv	fjbpv
l	k	lzbkfmq	kzblfmq
s	q	nqslmxd	nsqlmxd
v	j	wjvbzrt	wvjbzrt
f	t	fcqkdtlnvb	tcqkdflnvb
x	z	rmtxjbqpkgczv	rmtzjbqpkgcxv
v	q	flvq	flqv
d	z	drzkjg	zrdkjg
j	q	jxhq	qxhj
b	l	lbn	bln
g	j	kjrdgbqw	kgrdjbqw
p	f	prf	frp
q	k	qkzljpsbxwcfm	kqzljpsbxwcfm
g	b	bvswgpdkjt	gvswbpdkjt
f	p	fph	pfh
g	c	lnsgrc	lnscrg
d	z	mxlcgpqzdvjrhk	mxlcgpqdzvjrhk
s	h	bhjdsvlp	bsjdhvlp
w	b	tbzgncwlk	twzgncblk
t	r	jgdvrzt	jgdvtzr
k	t	kgmtq	tgmkq
p	l	lzpn	pzln
l	f	fls	lfs
h	b	xhgbt	xbght
h	m	zlmwhf	zlhwmf
v	n	vmsknq	nmskvq
b	v	svwzbgjhx	sbwzvgjhx
d	r	crdnh	cdrnh
n	v	vpmnxzqjs	npmvxzqjs
s	t	vts	vst
g	f	gmcftsdl	fmcgtsdl
r	x	rklpdnwvtfxh	xklpdnwvtfrh
s	d	sdqp	dsqp
g	n	nbjglqv	gbjnlqv
z	j	xtlzrqsjw	xtljrqszw
x	q	nzxgsqkm	nzqgsxkm
p	l	lzvcdmpkthx	pzvcdmlkthx
k	s	skq	ksq
b	k	pzbmkrfl	pzkmbrfl
d	r	dbvplgztshmqrxf	rbvplgztshmqdxf
x	z	grzxp	grxzp
s	l	rjslt	rjlst
j	x	qxzgjrm	qjzgxrm
r	h	dsrh	dshr
t	j	tpjc	jptc
f	s	tpwqsxbfjd	tpwqfxbsjd
j	t	hjwftvq	htwfjvq
p	z	qwhdxnzjpt	qwhdxnpjzt
s	t	stb	tsb
k	v	vgksjp	kgvsjp
w	l	wdlx	ldwx
c	v	vsgcl	csgvl
x	g	hkgxrljp	hkxgrljp
q	h	qth	htq
q	g	pjtsrlgq	pjtsrlqg
g	m	scwmtzg	scwgtzm
k	x	ckxwzds	cxkwzds
n	r	rxwnd	nxwrd
d	w	pgdhfwx	pgwhfdx
p	j	jphct	pjhct
r	q	zbsqmhwtrj	zbsrmhwtqj
t	f	zhtxjwmbfpkql	zhfxjwmbtpkql
v	q	qcv	vcq
p	x	xpfzsj	pxfzsj
b	c	cbwmzfsrp	bcwmzfsrp
b	f	hfcbjzqx	hbcfjzqx
z	n	lnphgszx	lzphgsnx
s	r	nsjrql	nrjsql
s	j	jsr	sjr
r	w	zrwn	zwrn
j	v	jtbvlskpd	vtbjlskpd
g	v	mhxpqjgrvt	mhxpqjvrgt
b	r	frxbjch	fbxrjch
k	t	kcgtxp	tcgkxp
b	t	wrnbtz	wrntbz
v	r	vzrp	rzvp
z	w	mbwzfq	mbzwfq
j	d	mjqhvdpk	mdqhvjpk
x	f	hblcdftxsnp	hblcdxtfsnp
g	k	kcmnbhrpgj	gcmnbhrpkj
q	n	dkqns	dknqs
b	c	lmcdtb	lmbdtc
q	z	mxjpzq	mxjpqz
h	t	gdhtsf	gdthsf
f	z	qfz	qzf
j	n	czrgjln	czrgnlj
p	d	kpdsqbn	kdpsqbn
r	t	zfgrcthbp	zfgtcrhbp
r	h	cxhbtslr	cxrbtslh
h	s	hsgx	shgx
h	x	vxhsn	vhxsn
d	w	kjgqhwd	kjgqhdw
w	k	sdxftwkj	sdxftkwj
q	h	whpqx	wqphx
g	t	sdlbgtrx	sdlbtgrx
g	n	ncgk	gcnk
p	l	rlbnptczm	rpbnltczm
z	v	fmzv	fmvz
f	d	xwdzf	xwfzd
v	n	wnlpskdxbvr	wvlpskdxbnr
j	p	wtcjpqvl	wtcpjqvl
q	m	dmtzq	dqtzm
g	h	jgrxthvlfmbn	jhrxtgvlfmbn
z	v	nsvz	nszv
d	v	bpgtwkvld	bpgtwkdlv
h	t	bmtrfh	bmhrft
x	g	gdmsx	xdmsg
p	h	qpxfths	qhxftps
r	k	fsrxklchtd	fskxrlchtd
n	l	xlwfnr	xnwflr
j	d	gmxdznj	gmxjznd
h	p	vph	vhp
r	s	hrtxpjgnszwbcqlmf	hstxpjgnrzwbcqlmf
k	s	svnklh	kvnslh
h	n	jnhcfg	jhncfg
q	j	fjqkws	fqjkws
k	s	tnswmbkg	tnkwmbsg
c	v	xlqpvc	xlqpcv
w	m	pwcmnlkxt	pmcwnlkxt
g	j	qjlpghzb	qglpjhzb
z	f	wfvxrjzc	wzvxrjfc
l	w	qlwtrsjdfv	qwltrsjdfv
q	n	qjnwkfdhtcr	njqwkfdhtcr
f	d	vdxfqs	vfxdqs
c	h	bgqphjmc	bgqpcjmh
x	d	dxq	xdq
z	b	btjxdhz	ztjxdhb
n	j	fprbdzknjs	fprbdzkjns
x	t	ltxrsqdbkhc	lxtrsqdbkhc
t	d	dbnsjtm	tbnsjdm
g	z	jwkhclfpgqmzn	jwkhclfpzqmgn
r	w	bsgnfzwvpr	bsgnfzrvpw
r	m	hsjrgmfldzt	hsjmgrfldzt
n	m	nmflhj	mnflhj
v	t	vqmtpl	tqmvpl
r	c	rcz	crz
t	j	ktj	kjt
z	b	cjqzbgpx	cjqbzgpx
x	v	vxr	xvr
h	q	rtzbqh	rtzbhq
j	r	lrj	ljr
w	s	rlhwfkpqxvsnt	rlhsfkpqxvwnt
q	h	jhwq	jqwh
l	s	vdsl	vdls
g	s	ghqtvpsr	shqtvpgr
v	t	ckmtgsvq	ckmvgstq
j	w	dxjtwsglh	dxwtjsglh
l	w	fjlw	fjwl
c	m	cjm	mjc
f	s	jfsnql	jsfnql
x	h	lbzsthnfwxc	lbzstxnfwhc
l	r	gmrwplxskqzcf	gmlwprxskqzcf
t	p	ptn	tpn
k	d	ptvdksh	ptvkdsh
v	d	gdv	gvd
j	k	mqskjx	mqsjkx
f	z	sbnfzwjxr	sbnzfwjxr
x	j	tfwjxp	tfwxjp
z	d	pzd	pdz
b	c	pzbnxsqcwdj	pzcnxsqbwdj
c	z	zcq	czq
f	x	tdfnlcxw	tdxnlcfw
m	s	jsrm	jmrs
d	h	bhd	bdh
m	k	mlfwzsjhkgd	klfwzsjhmgd
q	l	bmwlxqc	bmwqxlc
m	w	wjvmgkf	mjvwgkf
v	r	rvwxd	vrwxd
p	v	hspjvqnkfcb	hsvjpqnkfcb
n	r	zgsndcfr	zgsrdcfn
n	x	trkmfdxsnlzj	trkmfdnsxlzj
j	h	jhb	hjb
q	t	tbswjqh	qbswjth
d	n	dbvjtgnq	nbvjtgdq
x	l	txl	tlx
c	j	kczxjq	kjzxcq
p	q	pxqvjfl	qxpvjfl
l	s	dbhlpzgsf	dbhspzglf
s	r	rsh	srh
r	p	vqmtbzpgxrknjcf	vqmtbzrgxpknjcf
r	q	qgjzwhmr	rgjzwhmq
d	z	nqswzkxrdf	nqswdkxrzf
b	m	kptmlbnr	kptblmnr
l	x	nzvjdsxlq	nzvjdslxq
z	s	nzs	nsz
q	k	dhkqcxszmjgw	dhqkcxszmjgw
h	b	sbvh	shvb
s	p	sjnrwkdp	pjnrwkds
l	d	lnpvbd	dnpvbl
f	z	zjsf	fjsz
z	g	kfbgjhlzxqrm	kfbzjhlgxqrm
d	v	vnbkdzq	dnbkvzq
z	j	jzl	zjl
g	s	gqszb	sqgzb
s	g	phdsmgljtv	phdgmsljtv
f	t	fhwtmk	thwfmk
r	g	gkfrzc	rkfgzc
l	x	lxzrp	xlzrp
x	j	kwjhxlzt	kwxhjlzt
x	h	phgsnkdxb	pxgsnkdhb
l	w	dlwg	dwlg
p	l	pmls	lmps
s	m	jsthm	jmths
f	s	qfgs	qsgf
m	x	xhmzpn	mhxzpn
t	f	wlrkmjft	wlrkmjtf
w	d	dwv	wdv
c	d	mdvcjnhkg	mcvdjnhkg
l	p	wnlfbqp	wnpfbql
t	p	hftps	hfpts
h	b	pbhfd	phbfd
d	t	gljdrtv	gljtrdv
x	p	fbnpwx	fbnxwp
q	c	hbpsjtfqcd	hbpsjtfcqd
z	f	qmnvfzdwsg	qmnvzfdwsg
n	x	crnlxst	crxlnst
r	b	wdrbkf	wdbrkf
h	b	bmhftjpxnsc	hmbftjpxnsc
c	z	lzctkhvbj	lcztkhvbj
z	l	rhbnmxvsgzltp	rhbnmxvsglztp
q	w	hqw	hwq
p	m	xgjvptbmlsn	xgjvmtbplsn
s	z	csbrpzf	czbrpsf
z	m	qjksmhbzxn	qjkszhbmxn
r	t	kbcsrqt	kbcstqr
t	z	ztpq	tzpq
p	j	dfjqrpl	dfpqrjl
l	c	fzqslpcjw	fzqscpljw
q	d	sntqrd	sntdrq
h	x	hsx	xsh
g	p	kzfmgxpcltq	kzfmpxgcltq
f	w	nrjfpcwvhb	nrjwpcfvhb
p	g	pdg	gdp
q	h	ndkqlhp	ndkhlqp
x	r	bxnhqrjwtg	brnhqxjwtg
c	f	bxdkfch	bxdkcfh
q	m	rpqhzsbnkgfm	rpmhzsbnkgfq
h	g	sgrwfphbvj	shrwfpgbvj
v	w	vfrw	wfrv
p	j	fjbsnpvm	fpbsnjvm
w	v	tprqhkvswl	tprqhkwsvl
p	v	dfgqvlpcwk	dfgqplvcwk
b	c	xkncblq	xknbclq
g	w	gwzvmbxn	wgzvmbxn
z	k	jzkfg	jkzfg
q	g	gpq	qpg
l	z	txgplz	txgpzl
b	q	xqmnbk	xbmnqk
r	s	fsr	frs
j	k	jkm	kjm
g	h	zthcgxlndq	ztgchxlndq
d	t	ztpnkhdf	zdpnkhtf
n	q	lhxbnqpdgstc	lhxbqnpdgstc
n	c	nvcwspj	cvnwspj
l	d	svqpdlwfrt	svqpldwfrt
j	n	vbxfcnzjw	vbxfcjznw
p	k	kqmnpr	pqmnkr
g	b	nvpgqb	nvpbqg
d	x	hxkwcfd	hdkwcfx
z	c	vcz	vzc
b	f	wbf	wfb
q	c	zdqcwt	zdcqwt
n	g	lpngwvhr	lpgnwvhr
t	v	hntfbv	hnvfbt
m	b	wzkmbxrhf	wzkbmxrhf
j	t	tmcglhzjx	jmcglhztx
q	x	xnktqh	qnktxh
z	c	csfmwdz	zsfmwdc
f	l	rlzxvhf	rfzxvhl
x	r	xlzrshfjm	rlzxshfjm
c	s	shxcznj	chxsznj
n	h	rlnqhg	rlhqng
c	s	cxkbfsl	sxkbfcl
s	m	mks	skm
n	v	fdnv	fdvn
c	q	vcqg	vqcg
s	q	rdvqmsltn	rdvsmqltn
g	h	ghkjml	hgkjml
l	p	qpl	qlp
w	g	nwqgfv	ngqwfv
b	q	xdqwtpfbn	xdbwtpfqn
q	h	zgsqfh	zgshfq
t	g	tpgchz	gptchz
b	d	lhbdmt	lhdbmt
t	f	nvmtcfpxdbrgljk	nvmfctpxdbrgljk
l	n	nlb	lnb
d	f	dfgjbxksw	fdgjbxksw
q	b	qblp	bqlp
n	w	vngwbxk	vwgnbxk
m	h	hwmf	mwhf
w	b	hbwr	hwbr
t	d	sfhkpjdtqg	sfhkpjtdqg
j	g	jzgdqh	gzjdqh
p	b	plfmzbcdj	blfmzpcdj
j	b	xjbr	xbjr
m	s	bsmtjdv	bmstjdv
f	g	csgf	csfg
p	l	qstlvnczp	qstpvnczl
x	c	dcxspbngljkz	dxcspbngljkz
w	m	rmwxtl	rwmxtl
j	g	jgl	gjl
v	d	lrdvxbc	lrvdxbc
w	s	vrspctwjgmbn	vrwpctsjgmbn
d	z	jwtsczd	jwtscdz
w	t	mfwt	mftw
x	j	fmxkjlw	fmjkxlw
j	g	ljzgwhpmx	lgzjwhpmx
s	r	frs	fsr
l	g	gjqplbrfs	ljqpgbrfs
c	b	hlkczpgnxb	hlkbzpgnxc
l	p	pltxkfb	lptxkfb
z	h	glbwxnmhdz	glbwxnmzdh
f	k	svrfkzbh	svrkfzbh
d	f	ltwdpkvnf	ltwfpkvnd
v	x	vfxsgqj	xfvsgqj
r	z	wcrnlz	wcznlr
j	v	jwv	vwj
j	r	rjvl	jrvl
f	p	qfvdpzn	qpvdfzn
p	l	vpsclz	vlscpz
z	c	rznpgjsdcqvw	rcnpgjsdzqvw
r	m	mrvdf	rmvdf
m	v	vdxhmk	mdxhvk
s	k	pktsdm	pstkdm
k	b	jlfpxszktb	jlfpxszbtk
k	d	djkzvwr	kjdzvwr
d	w	hskwjdlmp	hskdjwlmp
k	w	klqczwgtfh	wlqczkgtfh
h	b	bfhc	hfbc
w	c	wxcgnzp	cxwgnzp
m	s	jqmtwsz	jqstwmz
n	t	qnt	qtn
r	b	brklpcnqgv	rbklpcnqgv
k	j	zjdpntmhkl	zkdpntmhjl
s	l	tnslxzkf	tnlsxzkf
p	f	plxqvnfbtdw	flxqvnpbtdw
z	r	rzw	zrw
x	q	dtmhrsxbq	dtmhrsqbx
w	s	rfzws	rfzsw
g	m	wgkzmnr	wmkzgnr
s	k	npvthjgwdkbs	npvthjgwdsbk
g	t	ngtz	ntgz
k	v	jvrk	jkrv
d	k	kvrdp	dvrkp
b	x	bxf	xbf
f	v	rbgkvhftjm	rbgkfhvtjm
g	f	gfp	fgp
b	n	nbs	bns
x	t	ctskmlqvbxpdz	cxskmlqvbtpdz
q	k	qlkhwrj	klqhwrj
m	q	qwmlcngz	mwqlcngz
n	l	cln	cnl
m	v	gfmnlv	gfvnlm
h	t	mhtwlvdx	mthwlvdx
g	q	rdcfwbnqg	rdcfwbngq
d	k	mqgkjdv	mqgdjkv
v	h	vhmfsz	hvmfsz
d	p	pfjtdnhms	dfjtpnhms
r	h	wmhjkpqrg	wmrjkpqhg
s	d	hds	hsd
c	m	sjdpmct	sjdpcmt
b	p	pdvcbhg	bdvcphg
b	r	rbldf	brldf
c	q	khpfcq	khpfqc
k	j	jgvksbm	kgvjsbm
h	p	pbqksth	hbqkstp
f	h	fjrmldcph	hjrmldcpf
j	b	lbjcn	ljbcn
k	p	rhkbspfnxj	rhpbskfnxj
z	b	cljbvhgz	cljzvhgb
w	m	tqwmpr	tqmwpr
t	d	dvjt	tvjd
l	s	hnsgvxl	hnlgvxs
d	g	dgrzwqkn	gdrzwqkn
n	d	dtvkbcrjng	ntvkbcrjdg
h	r	dqvrwcsh	dqvhwcsr
w	m	mnjfqw	wnjfqm
q	t	qfbtrdvkgn	tfbqrdvkgn
t	h	xht	xth
l	h	hxnpslqb	lxnpshqb
b	z	bwhvmkz	zwhvmkb
f	h	hsvxcgf	fsvxcgh
b	j	jrtvxb	brtvxj
k	r	hrkdtpv	hkrdtpv
c	l	pbcdljm	pbldcjm
x	w	wnx	xnw
j	m	bjmhsd	bmjhsd
g	c	cqgh	gqch
t	p	tpj	ptj
v	g	mgvl	mvgl
j	v	vxsmprjb	jxsmprvb
m	s	tmjkpblsr	tsjkpblmr
t	c	tnc	cnt
h	g	ftspmjrgh	ftspmjrhg
r	f	gfbzmtrj	grbzmtfj
x	l	xlnh	lxnh
q	c	tlqcw	tlcqw
p	h	hptxg	phtxg
j	n	kjvrn	knvrj
q	w	nwqfcbm	nqwfcbm
j	h	vtjqwh	vthqwj
b	w	rxbsgmvwkh	rxwsgmvbkh
m	w	pbnfmwdzkcjt	pbnfwmdzkcjt
p	f	lmfxcpk	lmpxcfk
v	z	vcz	zcv
x	g	xfghmw	gfxhmw
d	w	wdf	dwf
r	s	cvfmnszhr	cvfmnrzhs
n	c	ncbxk	cnbxk
x	s	dsvxpw	dxvspw
h	q	wjfhqbvkz	wjfqhbvkz
s	q	mqphs	msphq
p	r	npr	nrp
w	t	xjztlwm	xjzwltm
x	s	hdxsltr	hdsxltr
x	t	txnrgwkc	xtnrgwkc
d	v	pnfdvx	pnfvdx
d	g	gdxhz	dgxhz
h	s	ktwxhsm	ktwxshm
q	z	hzfpwtdq	hqfpwtdz
z	d	shxwdzblfqp	shxwzdblfqp
q	t	cqjkth	ctjkqh
d	x	wkdqlngpxczms	wkxqlngpdczms
h	w	wzfh	hzfw
f	m	mdfc	fdmc
f	v	vgf	fgv
w	b	dwcbn	dbcwn
r	z	vrnfxhmlzw	vznfxhmlrw
m	s	mls	slm
z	w	dgwqz	dgzqw
b	q	fsqvhlb	fsbvhlq
d	g	rgvjd	rdvjg
f	v	hkxvswfd	hkxfswvd
c	l	qpwchtngl	qpwlhtngc
s	h	stwdqfzbhmc	htwdqfzbsmc
b	z	blz	zlb
d	c	czxd	dzxc
t	s	bpskwtx	bptkwsx
v	q	knrqdv	knrvdq
h	j	wgmnthjlk	wgmntjhlk
s	q	tzdqcs	tzdscq
n	z	znvt	nzvt
f	n	rdnfqzsthm	rdfnqzsthm
h	m	kdqmhp	kdqhmp
p	s	vtdjhlxcrsfgpn	vtdjhlxcrpfgsn
v	q	vmwfdrntzlqb	qmwfdrntzlvb
h	l	qxhwlks	qxlwhks
r	w	lrwkqpzbxvj	lwrkqpzbxvj
z	b	cbpzh	czpbh
x	v	gzvx	gzxv
g	j	skgj	skjg
z	d	xdkwlmz	xzkwlmd
j	d	lnjdcw	lndjcw
x	k	kmbxzvj	xmbkzvj
g	j	vwgjndqhk	vwjgndqhk
x	k	wvkjpzxl	wvxjpzkl
m	z	mpdzrjsv	zpdmrjsv
x	t	xzgvtq	tzgvxq
h	q	gkvlrzbhqnp	gkvlrzbqhnp
k	m	smk	skm
s	q	vqhplnbfks	vshplnbfkq
t	b	gdxwbjt	gdxwtjb
m	j	rczmtjhqk	rczjtmhqk
r	d	stmqzdr	stmqzrd
k	c	ckgl	kcgl
s	b	smgbl	bmgsl
v	j	vsglj	jsglv
t	q	tjqzf	qjtzf
w	k	lkpwts	lwpkts
f	j	vhdjzpmcf	vhdfzpmcj
b	d	fpgbcd	fpgdcb
q	s	szxjq	qzxjs
c	n	zxnc	zxcn
m	p	gzhxqpbmnl	gzhxqmbpnl
s	j	jhsxmprg	shjxmprg
w	c	tldcwxbsmpgj	tldwcxbsmpgj
c	t	rbjkcmqwths	rbjktmqwchs
d	r	mdr	mrd
z	w	qdltzw	qdltwz
z	x	dsxlznfkjhp	dszlxnfkjhp
t	r	qtgbrcdfw	qrgbtcdfw
m	s	sxbvqmwht	mxbvqswht
s	w	mwbsf	msbwf
b	d	dwnbfmjhvsr	bwndfmjhvsr
c	s	mbspcwx	mbcpswx
h	w	dlhw	dlwh
q	f	srfndqmg	srqndfmg
t	z	cnpxztr	cnpxtzr
t	h	tsh	hst
g	l	klgd	kgld
p	b	rpbchg	rbpchg
k	f	lhvkrsf	lhvfrsk
c	m	fpkmcq	fpkcmq
x	w	tmgxw	tmgwx
v	j	kftbjwdsgznvhrc	kftbvwdsgznjhrc
r	f	fgrhvwkj	rgfhvwkj
m	f	mpfjs	fpmjs
g	h	qjbtgrhplc	qjbthrgplc
k	f	xvbkswnf	xvbfswnk
d	s	rfghlsmdw	rfghldmsw
l	x	jfnrdmzxbvl	jfnrdmzlbvx
w	d	tmdwrqjp	tmwdrqjp
n	v	pwqsznvcb	pwqszvncb
p	f	vrxpsnfkm	vrxfsnpkm
l	j	ljs	jls
m	x	xpzlndm	mpzlndx
g	j	jlgd	gljd
x	h	xphzwl	hpxzwl
w	n	wqtflmzhn	nqtflmzhw
t	q	qbt	tbq
x	t	wcmtpxgn	wcmxptgn
d	c	frldcswn	frlcdswn
v	n	nvgt	vngt
g	s	fvwzsgkdphtqn	fvwzgskdphtqn
s	w	sjwm	wjsm
k	z	jmzwgk	jmkwgz
f	d	hjkflgdqsxc	hjkdlgfqsxc
c	w	wrckn	crwkn
j	b	pwjbq	pwbjq
l	q	lrq	qrl
m	f	lxvbrngzpwfmkhdq	lxvbrngzpwmfkhdq
k	v	lrsjckvmnd	lrsjcvkmnd
q	p	shxzpmgqntjbf	shxzqmgpntjbf
w	v	rwv	rvw
b	k	qdbkcxp	qdkbcxp
l	b	hlptmgbdk	hbptmgldk
w	m	hwsm	hmsw
h	v	bfrvshpmnw	bfrhsvpmnw
v	f	vfkpmn	fvkpmn
m	b	bkrqjcpmsz	mkrqjcpbsz
f	h	qhjvpfl	qfjvphl
x	c	xmpkbqgcvh	cmpkbqgxvh
s	b	sftbd	bftsd
s	k	dszjlmbkrv	dkzjlmbsrv
x	f	mxfhwb	mfxhwb
t	b	rqtglxbhndf	rqbglxthndf
n	m	hmjdng	hnjdmg
l	d	pdrl	plrd
c	p	pmc	cmp
c	t	mgtc	mgct
z	v	crtsmnpvxzld	crtsmnpzxvld
h	v	hglqkvms	vglqkhms
w	m	wtxnrsmgp	mtxnrswgp
h	g	gdhwv	hdgwv
c	h	dckrhnsqb	dhkrcnsqb
n	p	kstqrnp	kstqrpn
j	x	kxbzjc	kjbzxc
b	h	kjbvdh	kjhvdb
h	n	srqlhnd	srqlnhd
x	p	whvqnzdrxps	whvqnzdrpxs
j	x	dxwvjkf	djwvxkf
b	r	srbj	sbrj
h	p	fhp	fph
l	f	dfzjbgl	dlzjbgf
c	s	qsgjc	qcgjs
m	n	gkwlmrfnqb	gkwlnrfmqb
n	s	xvnfksj	xvsfknj
z	s	wsbrqz	wzbrqs
s	t	srt	trs
n	w	rfcxsnblhw	rfcxswblhn
b	w	wxb	bxw
n	b	zwksjmhnbq	zwksjmhbnq
r	j	dnjxrq	dnrxjq
d	v	qdbvjflmxzc	qvbdjflmxzc
v	g	pvgmrlnwsc	pgvmrlnwsc
n	s	gplvxzsnq	gplvxznsq
r	p	xnczbpqmr	xnczbrqmp
b	w	lbxwc	lwxbc
j	q	zxjgrbq	zxqgrbj
v	j	vcdbnsktfhxljgr	jcdbnsktfhxlvgr
b	p	zhbtp	zhptb
n	h	rnqhbp	rhqnbp
m	x	jzlmxp	jzlxmp
r	z	kcwzxsgdqr	kcwrxsgdqz
r	q	zrqmlvp	zqrmlvp
t	w	ltpwdfmkb	lwptdfmkb
q	p	pqx	qpx
j	m	hcmdwjt	hcjdwmt
m	l	xlmdbv	xmldbv
f	k	mkf	mfk
t	d	jrcbtfdzkpvs	jrcbdftzkpvs
d	f	dzhcfk	fzhcdk
j	v	pzvjs	pzjvs
s	t	vgfmstd	vgfmtsd
c	l	kqlvczb	kqcvlzb
m	c	cfqdjm	mfqdjc
l	d	lghdcn	dghlcn
w	z	dcftwxmzg	dcftzxmwg
m	c	tmlc	tclm
x	z	hrzbxlgpw	hrxbzlgpw
z	f	hfgzpv	hzgfpv
l	m	mrlg	lrmg
s	v	wvms	wsmv
r	h	hxqzsrtk	rxqzshtk
g	j	jgsfz	gjsfz
j	t	xtjk	xjtk
x	t	xkvt	tkvx
j	r	rwjkmb	jwrkmb
f	g	dfwkhg	dgwkhf
s	b	ntmslb	ntmbls
j	m	kjmv	kmjv
x	m	xgmctks	mgxctks
c	g	cng	gnc
l	p	phzrnlk	lhzrnpk
x	k	kdcxznrms	xdckznrms
z	k	bpknzvq	bpznkvq
h	p	fdmbph	fdmbhp
s	m	pfsbljqmhgv	pfmbljqshgv
p	z	pzv	zpv
t	b	btv	tbv
w	h	jqzwhdbs	jqzhwdbs
t	h	hgxtz	tgxhz
z	n	gzn	gnz
s	l	mlwfsx	mswflx
v	g	gslvh	vslgh
d	r	wzdr	wzrd
l	s	wlsfxntcv	wslfxntcv
s	g	spfqhkcmljgx	gpfqhkcmljsx
b	s	fhzbs	fhzsb
t	p	pzct	tzcp
c	d	glcdzhs	gldczhs
n	z	gptnz	gptzn
g	q	wgqmflb	wqgmflb
f	j	vjf	vfj
c	p	pcth	cpth
p	v	vlpswdc	plvswdc
b	n	fdnqpzvbrwhm	fdbqpzvnrwhm
p	z	knspdrz	knszdrp
d	w	zwqdfbsn	zdqwfbsn
r	p	pcr	rcp
z	g	dsqmgwrlzxvn	dsqmzwrlgxvn
x	v	qbnklfxhzjdmv	qbnklfvhzjdmx
s	c	cns	snc
m	w	rkbntmwxz	rkbntwmxz
s	n	msqvxnchjwlrtf	mnqvxschjwlrtf
x	r	drxmgl	dxrmgl
t	j	wdljktvczqx	wdltkjvczqx
l	f	xpdqnvlbf	xpdqnvfbl
l	x	lxf	xlf
q	d	qdkmfgjn	dqkmfgjn
p	z	fzhqlp	fphqlz
l	s	zxls	zxsl
n	l	clnwdh	cnlwdh
g	k	kbxnsfg	gbxnsfk
d	p	spcxnlwzdg	sdcxnlwzpg
h	p	fqhzkpn	fqpzkhn
q	k	gbkhq	gbqhk
x	z	pjxzv	pjzxv
m	l	cbjpwrmvlqgs	cbjpwrlvmqgs
g	s	szgdpl	gzsdpl
k	s	cgmsnkjpxz	cgmknsjpxz
d	v	dnv	vnd
l	b	blh	lbh
j	l	wljrts	wjlrts
m	n	kbnsmthd	kbmsnthd
d	h	dhfrgtb	hdfrgtb
x	k	hrkxtcn	hrxktcn
l	d	lvsgmd	dvsgml
q	r	rflqk	qflrk
g	n	gnh	ngh
z	g	fvtrzbkgn	fvtrgbkzn
g	x	gcxswrdbzq	xcgswrdbzq
n	b	mbnqthf	mnbqthf
p	t	bvlqtpz	bvlqptz
r	b	vbmqtpsr	vrmqtpsb
d	c	lcqrfnspd	ldqrfnspc
j	t	qlwhxvtfjk	qlwhxvjftk
l	v	cpvfhlbj	cplfhvbj
f	z	zmf	fmz
t	m	mwft	twfm
w	n	wns	nws
t	f	pzsftqkd	pzstfqkd
x	g	xnfbcdgt	gnfbcdxt
r	v	wkvzprstd	wkrzpvstd
c	n	gbrxlhndcmtkzj	gbrxlhcdnmtkzj
v	k	rsfhxnkv	rsfhxnvk
m	t	psvtxhgmb	psvmxhgtb
m	g	gpnhmdtf	mpnhgdtf
n	t	vhfdncstp	vhfdtcsnp
t	n	knmbwqt	ktmbwqn
k	q	wqrkx	wkrqx
d	h	jfhdw	jfdhw
h	f	lhfn	lfhn
c	g	cgwhrns	gcwhrns
g	w	zqkgvrmw	zqkwvrmg
w	t	kwt	ktw
d	w	csdfw	cswfd
f	l	qhslbfv	qhsfblv
j	g	mpdfqgjw	mpdfqjgw
b	j	bzxtj	jzxtb
w	n	kvfhgwnlrp	kvfhgnwlrp
j	q	sqwcdkzfvj	sjwcdkzfvq
d	s	sdr	dsr
q	v	zvqsp	zqvsp
x	d	xczd	dczx
j	x	hgjx	hgxj
b	h	bqgdnhk	hqgdnbk
r	l	lhr	rhl
n	z	znkg	nzkg
r	q	rhtjqwsz	qhtjrwsz
r	n	tsnqljhr	tsrqljhn
n	j	jvnl	nvjl
s	t	sxpt	txps
b	p	bsp	psb
g	p	nrcgxp	nrcpxg
k	h	khgtpwl	hkgtpwl
m	w	dwbmtg	dmbwtg
n	v	zbnmvr	zbvmnr
d	j	dlj	jld
b	r	jbr	jrb
d	q	dnbfgwq	qnbfgwd
k	j	gtkjhwcv	gtjkhwcv
n	z	lqbnxtzrkg	lqbzxtnrkg
b	f	kpvczbrfx	kpvczfrbx
n	g	bsvcgjn	bsvcnjg
p	d	vflrdbp	vflrpbd
k	n	zknjgw	znkjgw
w	v	qrpvwhxb	qrpwvhxb
x	m	grfwsqbvmxzpjtl	grfwsqbvxmzpjtl
d	s	nsmhqd	ndmhqs
c	m	crdkmfbs	mrdkcfbs
f	p	mzpqfr	mzfqpr
t	r	drtq	dtrq
j	k	zkjqprcnl	zjkqprcnl
m	g	bgm	bmg
z	h	zbfxnh	hbfxnz
h	l	ktvfdjlmpwhcbg	ktvfdjhmpwlcbg
w	d	ndvw	nwvd
v	c	tvc	tcv
h	c	jhxgcd	jcxghd
t	w	hmxwptl	hmxtpwl
t	m	mtczs	tmczs
