input1	input2	label
k	vkhcsl	vhcsl
l	lmnvts	mnvts
t	xhdtwp	xhdwp
q	dnzhfqx	dnzhfx
w	dwpvf	dpvf
f	tjlfcs	tjlcs
z	zbpgn	bpgn
p	vpzlt	vzlt
h	xmghjb	xmgjb
r	nsrxkw	nsxkw
x	wlxftrmp	wlftrmp
f	bpcjf	bpcj
h	hdxtbl	dxtbl
x	fdlgxhs	fdlghs
q	gfvpqcdzl	gfvpcdzl
w	vkgcwrtd	vkgcrtd
x	qmxj	qmj
n	wmngxfk	wmgxfk
j	brmj	brm
c	vmcf	vmf
p	fkpx	fkx
c	cblgpv	blgpv
t	cfjwzmbtlp	cfjwzmblp
g	dwgsqnt	dwsqnt
h	bfxhz	bfxz
p	tgbmpzk	tgbmzk
v	stvwz	stwz
w	nkwfzc	nkfzc
q	lshqf	lshf
g	gkxhmbwpt	kxhmbwpt
f	sbnrgqzft	sbnrgqzt
v	wrcvx	wrcx
m	srmjq	srjq
l	hrslt	hrst
j	hnflcj	hnflc
h	cphxg	cpxg
w	nzpmwc	nzpmc
p	bgpqxmw	bgqxmw
x	xdtvcjs	dtvcjs
l	gjlz	gjz
g	rhpbgc	rhpbc
g	fgkxtz	fkxtz
l	kmxrwcdtls	kmxrwcdts
q	kjqrpx	kjrpx
r	cdrp	cdp
c	tvcbmjklq	tvbmjklq
k	vpftrkdzgm	vpftrdzgm
b	ckzgbs	ckzgs
x	mfhx	mfh
j	xhmcpnfzj	xhmcpnfz
q	brcpnq	brcpn
g	xpgszjcwqmf	xpszjcwqmf
c	kcrzg	krzg
s	kbpgtsdxnfh	kbpgtdxnfh
q	bzhqj	bzhj
g	bgqrxhdv	bqrxhdv
n	ldjbgxnwqrs	ldjbgxwqrs
b	vcdwtmrxlb	vcdwtmrxl
r	qpkr	qpk
z	czhfsgb	chfsgb
r	jgcbzrpkwld	jgcbzpkwld
d	vtxpdfz	vtxpfz
l	lqcgt	qcgt
z	mkdjnz	mkdjn
r	mrvgd	mvgd
r	vrw	vw
j	kxpjtvzn	kxptvzn
n	dnt	dt
b	wkbvlr	wkvlr
r	sdrhw	sdhw
b	nbrks	nrks
l	zlxcnb	zxcnb
g	kphxnlmgb	kphxnlmb
g	sclqbkg	sclqbk
r	vcrs	vcs
m	rsmdjhwgbpcz	rsdjhwgbpcz
h	fmclh	fmcl
v	wrqv	wrq
c	krxhpvmbc	krxhpvmb
g	dlcgz	dlcz
x	zxjdlcq	zjdlcq
r	flnrhq	flnhq
m	mpbjch	pbjch
n	zmwnf	zmwf
g	dbvzfcg	dbvzfc
g	xwtsgnml	xwtsnml
n	pfnmw	pfmw
c	nsxzjqct	nsxzjqt
t	kth	kh
h	nvh	nv
l	gzcrxpvhnmld	gzcrxpvhnmd
h	xmkgqwch	xmkgqwc
z	lchbrzgv	lchbrgv
s	skcjd	kcjd
g	ktqgwbh	ktqwbh
t	hdtvn	hdvn
t	qlstcwkd	qlscwkd
g	phkdxbvg	phkdxbv
s	rvpxksf	rvpxkf
n	kprlmns	kprlms
w	snlfqcdmvw	snlfqcdmv
f	qtlsf	qtls
w	qrwnzfl	qrnzfl
z	fhcxdbpzr	fhcxdbpr
k	hmvqftkg	hmvqftg
f	pfwhqrxmk	pwhqrxmk
c	tfxhwcm	tfxhwm
l	kpvbmnzl	kpvbmnz
m	pfkjsmlhnqd	pfkjslhnqd
t	jtzqb	jzqb
q	qbgsrc	bgsrc
p	jwbvcpxlhfkd	jwbvcxlhfkd
g	vwqhbfgm	vwqhbfm
l	pslrkxb	psrkxb
d	nsd	ns
z	xstnkvzlhpb	xstnkvlhpb
n	tsxfnj	tsxfj
f	fcqv	cqv
c	zcjsxvfdw	zjsxvfdw
c	bsdrkmxc	bsdrkmx
r	vlprjqnshk	vlpjqnshk
h	zdswhb	zdswb
p	pngdw	ngdw
p	bgprwmxnhq	bgrwmxnhq
m	sgcmh	sgch
r	vshqprz	vshqpz
d	qcrwvgdbnhlpxt	qcrwvgbnhlpxt
v	wkqrjtvdxzs	wkqrjtdxzs
n	zlgwn	zlgw
w	bhwp	bhp
b	qnbc	qnc
r	ksgmrfn	ksgmfn
h	zthwspb	ztwspb
n	fhnr	fhr
c	ctrshv	trshv
z	nqz	nq
f	nfqjm	nqjm
b	cstvgwbfhxmq	cstvgwfhxmq
g	cbrgps	cbrps
r	qpgwmtr	qpgwmt
r	frnz	fnz
v	jhtvgplbq	jhtgplbq
f	jfk	jk
v	tdmv	tdm
f	wfgzsj	wgzsj
n	bgqjtn	bgqjt
v	dhvs	dhs
b	hlbsfgqwz	hlsfgqwz
q	rfpbvqd	rfpbvd
h	vpgfwhrb	vpgfwrb
p	xvfqcdmszpkw	xvfqcdmszkw
q	zmvqxj	zmvxj
b	xtsbgd	xtsgd
h	xqfcrzhmw	xqfcrzmw
d	bqsmndlhv	bqsmnlhv
g	ljgvdqcft	ljvdqcft
r	lwrpd	lwpd
r	dshbnclfrxzwkm	dshbnclfxzwkm
x	qxc	qc
c	ftdgzc	ftdgz
h	zhbcgp	zbcgp
v	pnvz	pnz
t	twnschr	wnschr
n	qkhgnr	qkhgr
b	swlbzkd	swlzkd
m	hmkfwd	hkfwd
x	bmqxnlcrd	bmqnlcrd
g	xmgzpt	xmzpt
c	gfjcnls	gfjnls
x	wbflpzx	wbflpz
q	wjcgmktlzfxq	wjcgmktlzfx
v	mzvgrpcfhdxsw	mzgrpcfhdxsw
q	qjkxcdbp	jkxcdbp
r	cjsbrf	cjsbf
s	scqgd	cqgd
q	gwqlm	gwlm
g	lxpjcgmzqrkf	lxpjcmzqrkf
d	nxptbdrmh	nxptbrmh
c	pczs	pzs
z	gpmz	gpm
p	kpq	kq
s	fgksz	fgkz
s	wjhbtxkzs	wjhbtxkz
h	wqbckh	wqbck
c	stjxnzc	stjxnz
f	vwkscf	vwksc
f	nvtfml	nvtml
k	kngjmzf	ngjmzf
v	xkvthcwlm	xkthcwlm
m	vgjlqmstdp	vgjlqstdp
g	mjskzg	mjskz
l	lrk	rk
s	zsnkl	znkl
t	qxprt	qxpr
k	knhw	nhw
x	txp	tp
b	mkzsjrqbtpl	mkzsjrqtpl
l	skxqndhlf	skxqndhf
f	wbfjklszp	wbjklszp
v	ncxv	ncx
h	sdhtmvbjfqx	sdtmvbjfqx
s	sjnz	jnz
t	rkjztxbvc	rkjzxbvc
d	zsdplx	zsplx
p	pvxdb	vxdb
c	vsfhlkcr	vsfhlkr
j	fjmzwqcp	fmzwqcp
m	ndjmtpkw	ndjtpkw
z	mnhtjrkwzqd	mnhtjrkwqd
t	xbqthdlzn	xbqhdlzn
d	rtmxsd	rtmxs
h	nqkmfhj	nqkmfj
h	khnlq	knlq
r	drnsjx	dnsjx
s	qswlcjhkbt	qwlcjhkbt
c	lwjhgcs	lwjhgs
f	kfzpwmnt	kzpwmnt
n	dmsngp	dmsgp
t	tmz	mz
b	kxsdbvhmqj	kxsdvhmqj
p	znpx	znx
m	chpfsm	chpfs
b	zchpmbgrsxfldv	zchpmgrsxfldv
h	rflhqwnvpjk	rflqwnvpjk
b	jdlbr	jdlr
b	nhtvbkmwzl	nhtvkmwzl
s	vgshzrqxp	vghzrqxp
j	mvj	mv
t	xzcjthwg	xzcjhwg
h	dwxnqh	dwxnq
w	stpjkbwzx	stpjkbzx
m	wqmkslc	wqkslc
j	dfphjs	dfphs
b	fvxbq	fvxq
c	cmwsfxg	mwsfxg
n	pnwq	pwq
p	ldpw	ldw
k	kfhjngs	fhjngs
d	ztdc	ztc
w	whdf	hdf
d	tflmdvkph	tflmvkph
q	wmxdrqpfl	wmxdrpfl
j	swxljt	swxlt
p	crhvpjlg	crhvjlg
q	kzghqrb	kzghrb
z	jpvbnzrfqlc	jpvbnrfqlc
b	mbr	mr
j	xtpmbwsjn	xtpmbwsn
q	jzkqbw	jzkbw
g	dgt	dt
h	hgzdp	gzdp
q	pgkqnj	pgknj
d	drkghlpxw	rkghlpxw
z	sczpnwrkmg	scpnwrkmg
m	mljghs	ljghs
w	hjpktw	hjpkt
x	txhz	thz
p	qjpbhsl	qjbhsl
l	lxptdkbh	xptdkbh
b	htzmwcbd	htzmwcd
c	qcvwmlfkj	qvwmlfkj
k	hkr	hr
x	xntmcfq	ntmcfq
k	rqkgm	rqgm
w	wvdth	vdth
f	mzpfdk	mzpdk
b	pckbt	pckt
b	csndtqb	csndtq
c	fnzvhswcdtm	fnzvhswdtm
s	rfkmsl	rfkml
j	cjbzrdfpnvh	cbzrdfpnvh
r	rwsmvhdxb	wsmvhdxb
x	hdcxfzq	hdcfzq
b	kmjdtfsbpwq	kmjdtfspwq
s	tmqxbzsnrgd	tmqxbznrgd
f	jflqc	jlqc
m	msxlkn	sxlkn
t	thlw	hlw
m	phlmxjf	phlxjf
w	nchvwq	nchvq
p	njlthkwp	njlthkw
r	pldnjqr	pldnjq
d	jpcstxdql	jpcstxql
c	grzkhjcs	grzkhjs
m	msp	sp
s	pjnxstv	pjnxtv
z	jfxwzl	jfxwl
w	njwlfhb	njlfhb
p	wknpmsfxr	wknmsfxr
k	whcxkdsgmj	whcxdsgmj
l	lcpzdb	cpzdb
l	qwfl	qwf
m	qznmsdj	qznsdj
l	xlj	xj
m	njmgp	njgp
l	bflpv	bfpv
r	hdrcfxs	hdcfxs
v	vdftsz	dftsz
x	gcbvsx	gcbvs
w	rlzbhwts	rlzbhts
k	ckm	cm
c	wxc	wx
m	zsfgmrj	zsfgrj
q	cqbd	cbd
m	tvcjqlswhmb	tvcjqlswhb
t	fxwt	fxw
n	cvnsd	cvsd
h	qbdlxnhtc	qbdlxntc
p	kwqpc	kwqc
k	cwlnzsk	cwlnzs
s	sbv	bv
t	txvp	xvp
w	bptwrh	bptrh
f	ktfrzm	ktrzm
r	ptvrfd	ptvfd
z	ntgsjbzw	ntgsjbw
z	lzhfvp	lhfvp
n	nmxfv	mxfv
q	ghpscxrkzqv	ghpscxrkzv
l	gtfchl	gtfch
f	tvwnfj	tvwnj
z	zscrn	scrn
v	njgqfwvz	njgqfwz
z	zmkt	mkt
t	gbnjrct	gbnjrc
g	xrklgf	xrklf
j	fcnbqj	fcnbq
c	cdvfth	dvfth
t	rfpmt	rfpm
m	zmlg	zlg
m	xwkscjm	xwkscj
x	mdhzxnlt	mdhznlt
c	cghsbnd	ghsbnd
q	wslqp	wslp
f	tdqpzfcr	tdqpzcr
t	msntjfghqkxz	msnjfghqkxz
h	phqdm	pqdm
m	lbchwmfsrq	lbchwfsrq
m	mrstbdn	rstbdn
v	fqvdhrl	fqdhrl
x	grxctlzw	grctlzw
c	vglmct	vglmt
m	tzhmrfwnbs	tzhrfwnbs
v	qvc	qc
x	xvmrd	vmrd
k	xhkrmc	xhrmc
g	xkwgpqhj	xkwpqhj
p	vrcxkstp	vrcxkst
r	rbkgmj	bkgmj
v	wvfj	wfj
r	fmdwzvrqsn	fmdwzvqsn
j	jhvmpl	hvmpl
t	gkrmtwqv	gkrmwqv
q	tvqhd	tvhd
p	dcpnz	dcnz
m	mkjnwvgphqd	kjnwvgphqd
q	mjqlch	mjlch
r	csqpzrwl	csqpzwl
j	htnvzjb	htnvzb
s	strxn	trxn
j	tgfchzj	tgfchz
m	dncxljmphr	dncxljphr
p	vfmwtps	vfmwts
h	hgc	gc
f	hzpbvf	hzpbv
n	xblzndtvmc	xblzdtvmc
g	gwtqv	wtqv
m	mlwnp	lwnp
t	jflzhmt	jflzhm
c	zthxcp	zthxp
t	fczhtdvjr	fczhdvjr
f	fbxvt	bxvt
x	zxlm	zlm
h	dpghmftqk	dpgmftqk
w	mwhnfpz	mhnfpz
s	ghbtnsxvwz	ghbtnxvwz
g	dncgqrm	dncqrm
k	kdtpgv	dtpgv
z	xkdzftl	xkdftl
q	rmqlbtv	rmlbtv
f	mfcbnzxsq	mcbnzxsq
h	xmhprljqg	xmprljqg
c	zcgw	zgw
x	thknsxgldzvj	thknsgldzvj
k	tdmzkwg	tdmzwg
x	nxmsfc	nmsfc
h	zvhdtrcwplk	zvdtrcwplk
q	fltvqkw	fltvkw
s	sfvd	fvd
z	fzpxlvhtwbkm	fpxlvhtwbkm
c	bwqcpgh	bwqpgh
g	vjgzthfbwkcm	vjzthfbwkcm
q	qtkdxpn	tkdxpn
f	lfsd	lsd
t	ldntkq	ldnkq
t	tmjlnv	mjlnv
t	htz	hz
g	qtgwzfm	qtwzfm
f	hlf	hl
p	cpvkqsm	cvkqsm
h	bhwnqlv	bwnqlv
m	hjsfkmnc	hjsfknc
k	jspkfxmwcrbq	jspfxmwcrbq
j	rsqgkmtxhwj	rsqgkmtxhw
x	dqwxn	dqwn
f	sczdrhjkfpxg	sczdrhjkpxg
g	nqcbgxrwz	nqcbxrwz
r	lrcqbwnf	lcqbwnf
j	dljwzvp	dlwzvp
r	qgjrxbd	qgjxbd
q	wntcjplqb	wntcjplb
q	zqgsw	zgsw
c	jlcwntfbvdrg	jlwntfbvdrg
j	lgzkjs	lgzks
k	kjprzvmthf	jprzvmthf
m	nqxksrm	nqxksr
x	rpfx	rpf
j	jpfwnz	pfwnz
d	cvsdh	cvsh
b	wrnhksb	wrnhks
d	zncmdgv	zncmgv
p	mfhnlpqd	mfhnlqd
f	zrqndf	zrqnd
c	mvcr	mvr
d	lgvxbhd	lgvxbh
d	smjdgw	smjgw
f	dpfbcsgvkznq	dpbcsgvkznq
b	nbmzvdlq	nmzvdlq
g	kwgrn	kwrn
n	bhjlkwnx	bhjlkwx
z	pfz	pf
c	fkqbcstrdz	fkqbstrdz
d	zdlm	zlm
k	kjnhmlz	jnhmlz
k	rxplvmcdtk	rxplvmcdt
m	bpqgxwmf	bpqgxwf
m	mkqbntvp	kqbntvp
v	gljvrnmdpb	gljrnmdpb
p	cqjpvkw	cqjvkw
w	mwhbrgk	mhbrgk
d	dkbqmx	kbqmx
w	rkwftbsz	rkftbsz
l	kdlbxr	kdbxr
s	qsrthc	qrthc
t	bwthnj	bwhnj
p	spqdxc	sqdxc
g	xfgprsbk	xfprsbk
x	ntxzskwm	ntzskwm
m	nsrgcmhtbf	nsrgchtbf
d	drsc	rsc
m	rgnkqcpfdm	rgnkqcpfd
z	shztcgwfx	shtcgwfx
c	gjkhnct	gjkhnt
f	nzlwfjthsv	nzlwjthsv
h	dhkl	dkl
v	mlpkrv	mlpkr
f	nsfv	nsv
n	npwzdtb	pwzdtb
m	ntmw	ntw
g	bnfvxpjhg	bnfvxpjh
d	djrptglhk	jrptglhk
v	vbj	bj
d	jqfbd	jqfb
q	wqltfmgbnp	wltfmgbnp
z	vkzglfqjhsx	vkglfqjhsx
q	htnlqsz	htnlsz
l	jszlb	jszb
q	dvqmjrw	dvmjrw
t	mtbr	mbr
z	wnrsmcpzjlfv	wnrsmcpjlfv
l	mzjpftscdln	mzjpftscdn
z	zwmsd	wmsd
l	zljgtwx	zjgtwx
f	fpks	pks
v	hlngzvx	hlngzx
d	dskx	skx
x	tzwfbrxg	tzwfbrg
z	gzq	gq
c	czbl	zbl
v	jxfvdhswzlg	jxfdhswzlg
p	rkhbjptqwnd	rkhbjtqwnd
v	tshclqvdw	tshclqdw
w	bjlwt	bjlt
b	hsmcnwfkvb	hsmcnwfkv
v	lbkptvrzq	lbkptrzq
g	pfxtqsgwm	pfxtqswm
s	srbktg	rbktg
k	rctjzkhgmsvx	rctjzhgmsvx
s	lsq	lq
l	plbgvtwq	pbgvtwq
j	jwndmq	wndmq
f	hmgbfsxltz	hmgbsxltz
x	tmzxsl	tmzsl
q	wgvqb	wgvb
r	jvrmzs	jvmzs
r	crwmt	cwmt
b	zjmkfcbndxv	zjmkfcndxv
q	gqdbrm	gdbrm
p	pkcwgvtl	kcwgvtl
c	fjvcnw	fjvnw
c	rpcnwklqfhm	rpnwklqfhm
s	chtlsrpm	chtlrpm
d	gtrndm	gtrnm
p	jcrnpw	jcrnw
m	ztqpdxm	ztqpdx
d	jpdktw	jpktw
g	lqjgvfh	lqjvfh
f	zxfqljtps	zxqljtps
v	njmgcbpxzrv	njmgcbpxzr
r	dgrzjh	dgzjh
p	nxtkhpm	nxtkhm
s	kfscnp	kfcnp
b	mzqdbks	mzqdks
k	fnkxrqsd	fnxrqsd
q	qvnpf	vnpf
b	grvsbq	grvsq
d	msrdp	msrp
l	lnswqrz	nswqrz
n	wpxjncs	wpxjcs
j	jfz	fz
t	kjt	kj
f	zdftvswn	zdtvswn
w	fwzvlp	fzvlp
d	lpdh	lph
r	gxcrwnm	gxcwnm
c	hcd	hd
n	cwznvld	cwzvld
w	twdm	tdm
v	knfdrhcxvljw	knfdrhcxljw
b	fxdbsg	fxdsg
d	xnpdkz	xnpkz
r	rxgjmb	xgjmb
w	vwqdx	vqdx
t	ktnwhz	knwhz
v	tpgnhrjv	tpgnhrj
z	wvmzq	wvmq
m	mtjkx	tjkx
s	vnls	vnl
t	jfkcxstpwznv	jfkcxspwznv
n	hrwdpmn	hrwdpm
m	gdm	gd
g	gxckmt	xckmt
q	qrhbltcvjk	rhbltcvjk
m	clmbtd	clbtd
f	schxqf	schxq
b	kcqvlmdbsjhx	kcqvlmdsjhx
n	dvnhq	dvhq
c	fqhcpbw	fqhpbw
g	msdblgw	msdblw
w	ngwvhdblkq	ngvhdblkq
p	pkvm	kvm
g	gtqslnc	tqslnc
t	xnlgvfqt	xnlgvfq
r	ftjkrz	ftjkz
q	btgwsfq	btgwsf
h	jrvhxw	jrvxw
r	rcxb	cxb
k	vfwcjmkx	vfwcjmx
b	dntvbfjrgc	dntvfjrgc
q	jmhdqwg	jmhdwg
v	gxdvrtnm	gxdrtnm
x	vxs	vs
p	bwfp	bwf
p	qrwpb	qrwb
l	mxlthpws	mxthpws
g	gfc	fc
f	tqbhflvwx	tqbhlvwx
f	flwrhpv	lwrhpv
j	zdgjr	zdgr
q	hmqzfdsvp	hmzfdsvp
q	dpqt	dpt
h	hsdcr	sdcr
n	nlszvpc	lszvpc
f	grhlpdbzvf	grhlpdbzv
f	vkhwtfnl	vkhwtnl
j	jftqpsz	ftqpsz
k	xwvkzdrj	xwvzdrj
t	sdfbt	sdfb
f	ltzpfdcgsnwq	ltzpdcgsnwq
q	qzgdtvkjmxp	zgdtvkjmxp
k	xpvmsfzknwbr	xpvmsfznwbr
l	rxnlc	rxnc
x	nxd	nd
g	gtp	tp
b	tpwb	tpw
f	pzwfcb	pzwcb
z	xzrs	xrs
b	xmbhn	xmhn
w	hbfvwnlx	hbfvnlx
t	vcdt	vcd
m	wcmrg	wcrg
l	dxcnlkgpvq	dxcnkgpvq
c	vxbcn	vxbn
s	nmdpctxs	nmdpctx
s	vdhslnzwxp	vdhlnzwxp
x	wxscnmgdp	wscnmgdp
s	cnpsdb	cnpdb
j	jlmfxcd	lmfxcd
g	kcqjglwd	kcqjlwd
d	lcjpzvd	lcjpzv
q	hxq	hx
c	rpdc	rpd
x	wkxpnjvcd	wkpnjvcd
m	qfbdmprcvlh	qfbdprcvlh
b	vwdcbh	vwdch
r	mkbnlgqpr	mkbnlgqp
m	mgxqnh	gxqnh
z	xkbpmzr	xkbpmr
v	tzvpgsqm	tzpgsqm
p	dfmpqlc	dfmqlc
g	bhwfcgrslm	bhwfcrslm
f	jsfqpbk	jsqpbk
g	zgxf	zxf
b	dwhbkc	dwhkc
z	vswzm	vswm
l	nxhlgfkzcrj	nxhgfkzcrj
h	bwkhtsz	bwktsz
t	kzqvpwnlmt	kzqvpwnlm
m	mjrvdfspnc	jrvdfspnc
b	fzhwbtlg	fzhwtlg
n	tvnwj	tvwj
s	hvrdtskgpb	hvrdtkgpb
l	qlg	qg
n	rbcdzpjknxlf	rbcdzpjkxlf
p	gmcbpzld	gmcbzld
n	ntqhxmrkvpc	tqhxmrkvpc
l	gswdbknmlrhc	gswdbknmrhc
l	mflzb	mfzb
k	sxtvzrkw	sxtvzrw
g	chjlxvrfgk	chjlxvrfk
q	xdpqf	xdpf
g	spqndhgl	spqndhl
m	mrpdz	rpdz
l	zkslnwbp	zksnwbp
z	kjzd	kjd
w	hrbwsgnv	hrbsgnv
d	kmpdf	kmpf
b	zfnsqdmvkb	zfnsqdmvk
t	lwstmcjv	lwsmcjv
m	wkbzclm	wkbzcl
p	bpqmgrktx	bqmgrktx
t	kwvt	kwv
s	lspn	lpn
k	qhfksnx	qhfsnx
l	blj	bj
w	pszwmnb	pszmnb
h	ftnhrlqk	ftnrlqk
d	cjzd	cjz
q	pqktrfz	pktrfz
d	gljkntdp	gljkntp
l	bnhqsrkl	bnhqsrk
g	vfqblrwgkcdj	vfqblrwkcdj
g	dnvfpg	dnvfp
m	rtxmvjc	rtxvjc
p	xprn	xrn
g	gqk	qk
h	hkjdwvpcx	kjdwvpcx
r	qxrfzgk	qxfzgk
v	wcdvnbh	wcdnbh
h	nwblxh	nwblx
m	fkngpm	fkngp
z	scz	sc
t	zcjwqtm	zcjwqm
k	chnkxzrs	chnxzrs
c	kntvzgcl	kntvzgl
m	bxlmhpvwfnz	bxlhpvwfnz
x	cnjfbzlrx	cnjfbzlr
n	vtdwnrhxm	vtdwrhxm
k	rqzpk	rqzp
v	vdx	dx
v	tvlcr	tlcr
c	cfhmstqrnz	fhmstqrnz
d	dhtmlzcx	htmlzcx
r	mdrhw	mdhw
s	gjsxm	gjxm
n	nwv	wv
w	kwdtqmfzb	kdtqmfzb
f	sfgb	sgb
p	nwfptvrj	nwftvrj
r	rthfw	thfw
x	bxpvrfzl	bpvrfzl
w	fcqhw	fcqh
n	wvtncqmg	wvtcqmg
j	rhnjzp	rhnzp
c	cjplhk	jplhk
r	rzsfn	zsfn
h	qjhmdn	qjmdn
x	xspz	spz
r	mkvrns	mkvns
n	xngzkf	xgzkf
r	vzrgnjxlp	vzgnjxlp
j	dfvjtnrxcbl	dfvtnrxcbl
h	psqbxlkdthv	psqbxlkdtv
c	jghxzc	jghxz
b	jlhvbskxzgcw	jlhvskxzgcw
k	ksrxfjn	srxfjn
l	qlsjmdwptczkb	qsjmdwptczkb
m	mfvhcxw	fvhcxw
k	mpjflk	mpjfl
h	vtghdwbnprm	vtgdwbnprm
f	hvgfswm	hvgswm
t	rqsnxwtcmgk	rqsnxwcmgk
c	cqgxvb	qgxvb
w	rjwk	rjk
h	mcjgwh	mcjgw
g	glbrxcmw	lbrxcmw
n	nrfzlbv	rfzlbv
w	svjwrfq	svjrfq
s	gxsl	gxl
g	vbgsphn	vbsphn
w	vwrcdj	vrcdj
x	xgphwvrt	gphwvrt
g	qxfhjbtg	qxfhjbt
f	zsxtndqwf	zsxtndqw
j	njs	ns
q	rqdt	rdt
m	lxpmd	lxpd
l	btqwrkln	btqwrkn
f	sxfdghknbrvl	sxdghknbrvl
w	wphrm	phrm
d	ncxpglwhjmqd	ncxpglwhjmq
t	cgqtrn	cgqrn
g	vhjgl	vhjl
k	knp	np
n	wvpnzgqlm	wvpzgqlm
z	vzhf	vhf
d	dvmzqjf	vmzqjf
g	hnwbgrzsmqjfxc	hnwbrzsmqjfxc
z	wtgfjqpz	wtgfjqp
w	mtjcghfvqdw	mtjcghfvqd
c	lcj	lj
w	wgjzcsql	gjzcsql
n	nrflckd	rflckd
p	pwcbgkdltzsjmx	wcbgkdltzsjmx
d	kgvsdzxcjbf	kgvszxcjbf
h	qhcwbvd	qcwbvd
c	kclg	klg
w	hdgsljvw	hdgsljv
p	tpxqlwr	txqlwr
w	fmklwz	fmklz
g	vnxgkqt	vnxkqt
v	cvqmgtwl	cqmgtwl
n	rkgn	rkg
r	vtbqnr	vtbqn
n	hcnmp	hcmp
b	zhqnlkmbvs	zhqnlkmvs
x	jmpdqlxrhb	jmpdqlrhb
f	lfnts	lnts
s	bsx	bx
v	zhvqtwd	zhqtwd
d	wbdcvxtz	wbcvxtz
v	wkgvfnj	wkgfnj
z	qzhvwx	qhvwx
x	smdgqxlv	smdgqlv
h	jzwhs	jzws
n	phbfnmx	phbfmx
m	qskpzxvmlr	qskpzxvlr
g	wbdlg	wbdl
d	zwgbshldn	zwgbshln
z	fbgzdx	fbgdx
h	gsvfh	gsvf
d	qtxdsvnhj	qtxsvnhj
j	hwbmj	hwbm
j	jclzfk	clzfk
b	zxgtb	zxgt
n	dftwgnzhmr	dftwgzhmr
k	mgbkrsh	mgbrsh
h	cghswktj	cgswktj
l	gplwxf	gpwxf
z	bldhpjzv	bldhpjv
l	sfkml	sfkm
t	tpvw	pvw
k	dtrcqk	dtrcq
s	zndscj	zndcj
j	vgzdtpjcqwbn	vgzdtpcqwbn
c	xtmrzkbcljvqhp	xtmrzkbljvqhp
c	plrzgfdcw	plrzgfdw
t	dsltx	dslx
n	twkgsjn	twkgsj
q	xlfnqkwvc	xlfnkwvc
h	dshrf	dsrf
v	stvpg	stpg
j	mbptcj	mbptc
w	chwvb	chvb
r	rztfk	ztfk
f	wfmb	wmb
z	znk	nk
p	zpr	zr
c	pcksdwfx	pksdwfx
d	cbxfmdnvgsrthk	cbxfmnvgsrthk
h	flhxd	flxd
r	grknqhcs	gknqhcs
w	gzmwlk	gzmlk
r	mhqcrwl	mhqcwl
w	bmsrjw	bmsrj
h	hwspknlf	wspknlf
m	lfgmvts	lfgvts
j	bmfrdzwnjt	bmfrdzwnt
x	wfxck	wfck
b	qrbmnx	qrmnx
v	wrhgpvd	wrhgpd
f	lnchdmbfqw	lnchdmbqw
t	hgrtfdb	hgrfdb
p	wph	wh
p	tpvlw	tvlw
t	htdrfvlgp	hdrfvlgp
p	pgxzcv	gxzcv
c	cjb	jb
w	wjplqx	jplqx
m	rpmbq	rpbq
q	hsjmnwrbq	hsjmnwrb
z	phstvkzn	phstvkn
q	chldq	chld
s	jskm	jkm
q	zhsq	zhs
f	pnsfrdh	pnsrdh
x	qhxzr	qhzr
g	cmrgxd	cmrxd
k	hqgxwk	hqgxw
s	rsmcqhwlp	rmcqhwlp
w	wcrxgvb	crxgvb
r	gvtwr	gvtw
c	clxwmdfkhzv	lxwmdfkhzv
h	kxpszdvh	kxpszdv
z	zkc	kc
x	qrlmcxhnwd	qrlmchnwd
c	zjpgdchltm	zjpgdhltm
z	xwzldmtcv	xwldmtcv
x	lgbqxkvhf	lgbqkvhf
l	hgmlkrpbn	hgmkrpbn
f	wktf	wkt
z	glz	gl
s	sxgcm	xgcm
d	bdqchwz	bqchwz
j	nvjds	nvds
j	chfdpvznstwbrj	chfdpvznstwbr
x	nsgdlxh	nsgdlh
k	kqtfpd	qtfpd
k	mchjdsgkz	mchjdsgz
s	mvdhxts	mvdhxt
r	tsjxcwrkh	tsjxcwkh
f	gfscxpr	gscxpr
f	rpcflzmgbvn	rpclzmgbvn
k	rpklh	rplh
d	ndhgmp	nhgmp
t	mtxc	mxc
s	vthsxp	vthxp
h	fhmgkvp	fmgkvp
j	jcwnsxv	cwnsxv
h	lgmbhcvdxs	lgmbcvdxs
d	tgbxdjk	tgbxjk
t	lqgvphrt	lqgvphr
t	cpkdt	cpkd
l	lbjdt	bjdt
n	drstjnbqgfx	drstjbqgfx
k	ckmtp	cmtp
d	zrdcqphgsv	zrcqphgsv
g	txbg	txb
p	fxkgqbzps	fxkgqbzs
s	pgswznk	pgwznk
w	wlbkhqsz	lbkhqsz
z	rkdmfhzgx	rkdmfhgx
b	xbs	xs
q	pkxvjq	pkxvj
h	dhxpwflqz	dxpwflqz
j	gzdnxfmjcw	gzdnxfmcw
p	npwqx	nwqx
h	khlxv	klxv
v	pldsqftnvbkg	pldsqftnbkg
s	shrlmcz	hrlmcz
f	grcfm	grcm
d	cdmr	cmr
k	tkhlnjf	thlnjf
k	kclvqsrwhgn	clvqsrwhgn
n	hvkgcdmqnw	hvkgcdmqw
q	dzbqgj	dzbgj
f	fzbdmlgrpvqc	zbdmlgrpvqc
z	jsdzlng	jsdlng
f	cqjtfmdhxgwr	cqjtmdhxgwr
h	gkhrmxvd	gkrmxvd
